name,founded,website,description,info
Teach for America,1989,"https://www.teachforamerica.org","Recruits and trains educators to work in low-income communities to improve education access and outcomes.","https://www.teachforamerica.org/about-us"
DonorsChoose,2000,"https://www.donorschoose.org","Connects teachers with donors to fund classroom projects and materials.","https://www.donorschoose.org/about"
Boys & Girls Clubs of America,1860,"https://www.bgca.org","Offers youth development programs and activities to empower young people.","https://www.bgca.org/about-us"
Khan Academy,2008,"https://www.khanacademy.org","Provides free educational resources and personalized learning tools.","https://www.khanacademy.org/about"
National Education Association (NEA),1857,"https://www.nea.org","Advocates for public education and supports educators across the United States.","https://www.nea.org/about-nea"
Big Brothers Big Sisters of America,1904,"https://www.bbbs.org","Provides mentoring programs for children facing adversity.","https://www.bbbs.org/about-us"
First Book,1992,"https://www.firstbook.org","Provides books and educational resources to children in need.","https://www.firstbook.org/about-us"
College Board,1900,"https://www.collegeboard.org","Administers standardized tests and offers resources to help students prepare for college.","https://www.collegeboard.org/about"
Junior Achievement USA,1919,"https://www.juniorachievement.org","Empowers young people to succeed in the global economy through experiential learning programs.","https://www.juniorachievement.org/about"
Girls Who Code,2012,"https://girlswhocode.com","Inspires and equips girls with coding skills and STEM education.","https://girlswhocode.com/about-us"
National 4-H Council,1902,"https://4-h.org","Provides hands-on learning experiences for youth in agriculture, STEM, leadership, and more.","https://4-h.org/about/"
American Association of University Women (AAUW),1881,"https://www.aauw.org","Advocates for gender equity and supports women and girls in education and the workplace.","https://www.aauw.org/about/"
National Geographic Society Education,1888,"https://www.nationalgeographic.org/education","Offers educational resources, exploration grants, and experiences for students and educators.","https://www.nationalgeographic.org/education/about-us"
PENCIL,1995,"https://pencil.org","Connects business professionals with schools to support student success.","https://pencil.org/about-us"
Save the Children USA,1919,"https://www.savethechildren.org","Supports children's education, health, and safety worldwide, including the United States.","https://www.savethechildren.org/about-us"
Reading Is Fundamental (RIF),1966,"https://www.rif.org","Promotes literacy by providing free books and resources to children and families.","https://www.rif.org/about"
National Center for Learning Disabilities (NCLD),1977,"https://www.ncld.org","Advocates for individuals with learning and attention issues and offers resources for students and families.","https://www.ncld.org/about-us"
Public Broadcasting Service (PBS),1969,"https://www.pbs.org","Provides educational programming and resources for children and adults.","https://www.pbs.org/about-pbs"
America's Promise Alliance,1997,"https://www.americaspromise.org","Works to ensure all young people have the opportunity for success and well-being.","https://www.americaspromise.org/about-us"
National PTA,1897,"https://www.pta.org","Supports family engagement in education and advocates for the well-being of all children.","https://www.pta.org/about-us"
