name,founded,website,description,info
Doctors Without Borders (Médecins Sans Frontières),1971,"https://www.doctorswithoutborders.org","Provides medical care and humanitarian assistance in crisis-affected areas worldwide.","https://www.doctorswithoutborders.org/what-we-do"
Save the Children,1919,"https://www.savethechildren.org","Works to improve the lives of children through education, health, and protection programs globally.","https://www.savethechildren.org/who-we-are"
Amnesty International,1961,"https://www.amnesty.org","Advocates for human rights and campaigns against injustices worldwide.","https://www.amnesty.org/en/who-we-are/"
World Food Programme (WFP),1961,"https://www.wfp.org","Addresses hunger and provides food assistance in emergencies and vulnerable communities.","https://www.wfp.org/about"
CARE,1945,"https://www.care.org","Fights global poverty and provides disaster relief and development programs.","https://www.care.org/about/"
Human Rights Watch,1978,"https://www.hrw.org","Conducts research and advocacy on human rights abuses worldwide.","https://www.hrw.org/about"
Oxfam,1942,"https://www.oxfam.org","Works to end poverty and injustice by providing support and advocacy globally.","https://www.oxfam.org/en/about"
UNICEF (United Nations International Children's Emergency Fund),1946,"https://www.unicef.org","Protects the rights and well-being of children worldwide through various programs.","https://www.unicef.org/about"
Habitat for Humanity International,1976,"https://www.habitat.org","Builds affordable housing and empowers communities in need worldwide.","https://www.habitat.org/who-we-are"
World Wildlife Fund (WWF),1961,"https://www.worldwildlife.org","Works to conserve nature and address environmental challenges globally.","https://www.worldwildlife.org/about"
Mercy Corps,1979,"https://www.mercycorps.org","Provides humanitarian aid and empowers communities in crisis-affected areas.","https://www.mercycorps.org/about-us"
Plan International,1937,"https://www.plan-international.org","Advances children's rights and equality for girls in developing countries.","https://www.plan-international.org/about-us"
International Rescue Committee (IRC),1933,"https://www.rescue.org","Supports refugees and vulnerable communities affected by conflict and disaster.","https://www.rescue.org/about-us"
CARE International,1945,"https://www.care-international.org","Fights global poverty and provides humanitarian aid and development programs.","https://www.care-international.org/who-we-are/"
Transparency International,1993,"https://www.transparency.org","Works to combat corruption and promote transparency in government and institutions globally.","https://www.transparency.org/whatwedo"
Water.org,2009,"https://water.org","Addresses the global water crisis by providing access to safe water and sanitation.","https://water.org/about-us/"
Room to Read,2000,"https://www.roomtoread.org","Promotes literacy and gender equality in education through programs in Asia and Africa.","https://www.roomtoread.org/who-we-are"
International Federation of Red Cross and Red Crescent Societies,1919,"https://www.ifrc.org","Supports disaster response, recovery, and community resilience worldwide.","https://www.ifrc.org/who-we-are/"
Mercy Ships,1978,"https://www.mercyships.org","Operates hospital ships that provide free medical care and community development in developing nations.","https://www.mercyships.org/about-us/"
Heifer International,1944,"https://www.heifer.org","Works to end hunger and poverty by providing livestock and training to communities in need.","https://www.heifer.org/about-us/"
